,path,label
0,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_1_1,1
1,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_1_2,1
2,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_1_3,1
3,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_1,0
4,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_2,1
5,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_3,0
6,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_4,0
7,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_5,0
8,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_6,0
9,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_7,0
10,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_8,0
11,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_9,0
12,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_10,0
13,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_11,0
14,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_12,0
15,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_13,0
16,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_14,1
17,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_15,0
18,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_16,0
19,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_17,0
20,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_18,0
21,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_19,1
22,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_20,0
23,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_21,0
24,d:/Vikas/lie_detection/BrainWaves/data/preprocessed//data02/data02_4_22,0
